code_barre,num_inventaire,old_num_inventaire,departement,num_bureau,beneficiaire,designation,quantite,num_serie,condition,description,prix,categorie,chemin_image,custom_fields,date_ajouter,date_modification
ECR_POSITF_10,INV-2025-001,,ADG,1,DG,APPAREIL TELPHONE FIXE,1,,BON,MARQUE SIEMENS,0.00,Ordinateurs,,{},2025-06-30T01:31:42.807Z,2025-06-30T01:31:42.807Z
ECR_POSITF_11,INV-2025-002,,ADG,1,DG,APPAREIL TELPHONE FIXE,1,,BON,MARQUE PANASONIC  MARQUE KX -TG 1311FX  BLEU  NOIR SANS FIL,0.00,,,{},2025-06-30T01:31:45.512Z,2025-06-30T01:31:45.512Z
EXP_3991,INV-2025-003,,ADG,1,DG,SMART PHONE,1,,BON,GALAXY S20 FE 4G,0.00,,,{},2025-06-30T01:31:45.714Z,2025-06-30T01:31:45.714Z
3877,INV-2025-004,,ADG,1,DG,APPAREIL TELPHONE FIXE,1,,BON,MARQUE ALCATEL GRIS SOURIS  MARQUE EASY,0.00,,,{},2025-06-30T01:31:45.919Z,2025-06-30T01:31:45.919Z
SC0001,INV-2025-005,,ADG,1,DG,BAFFLE,1,,BON,NOIR,0.00,,,{},2025-06-30T01:31:46.123Z,2025-06-30T01:31:46.123Z
sanscode,INV-2025-006,,ADG,1,DG,Machie à café NARDI,1,,BON,Machie à café NARDI,0.00,,,{},2025-06-30T01:31:46.330Z,2025-06-30T01:31:46.330Z
3807B,INV-2025-007,,ADG,1,DG,BAIN D'HUILE,1,,BON,BAIN DHUIL  DELONGHI,0.00,,,{},2025-06-30T01:31:46.534Z,2025-06-30T01:31:46.534Z
3976,INV-2025-008,,ADG,1,DG,BUREAU A CAISSON INTÉGRÉ,1,,BON,EN BOIS 1 X CAISSONS INTEGRE  3 TIROIRS,0.00,,,{},2025-06-30T01:31:46.739Z,2025-06-30T01:31:46.739Z
3473,INV-2025-009,,ADG,1,DG,CHAISE VISITEUR,1,,BON,EN BOIS   CUIR   AVEC ACCOUDOIR    CHASIE DE REUNION,0.00,,,{},2025-06-30T01:31:46.949Z,2025-06-30T01:31:46.949Z
ECR_POSITF_468,INV-2025-010,,ADG,1,DG,DEMODULATEUR,1,,BON,MARQUE Géant Electronics,0.00,,,{},2025-06-30T01:31:47.152Z,2025-06-30T01:31:47.152Z
ECR_POSITF_472-1,INV-2025-012,,ADG,1,DG,FAUTEUIL DE SALON,1,,BON,FAUTEUIL DE SALON EN CUIR GRENAT,0.00,,,{},2025-06-30T01:31:47.353Z,2025-06-30T01:31:47.353Z
ECR_POSITF_514,INV-2025-013,,ADG,1,DG,MEUBLE TV,1,,BON,EN BOIS MARRON SOMBRE   1 PORTE VITREE EN BAS  ET 1 TIROIRE   PIVOTANTE,0.00,,,{},2025-06-30T01:31:47.558Z,2025-06-30T01:31:47.558Z
SC0002,INV-2025-014,,ADG,1,DG,MODEM ROUTEUR,1,,BON,MARQUE TENDA  D301 VERSION 02,0.00,,,{},2025-06-30T01:31:47.761Z,2025-06-30T01:31:47.761Z
ECR_POSITF_515,INV-2025-015,,ADG,1,DG,RÉFRIGERATEUR MINI,1,LG GR 051SF,BON,MARQUE LG   MINI,0.00,,,{},2025-06-30T01:31:47.967Z,2025-06-30T01:31:47.967Z
3566,INV-2025-016,,ADG,1,DG,TABLE DE COIN,1,,BON,EN BOIS  MARRON SOMBRE  PETITE,0.00,,,{},2025-06-30T01:31:48.177Z,2025-06-30T01:31:48.177Z
3868,INV-2025-017,,ADG,1,DG,TABLE BASSE,1,,BON,EN BOIS MARRON,0.00,,,{},2025-06-30T01:31:48.381Z,2025-06-30T01:31:48.381Z
3564,INV-2025-018,,ADG,1,DG,TABLE BASSE (Gigogne),1,,BON,EN BOIS   PLATEAU EN VERRE,0.00,,,{},2025-06-30T01:31:48.589Z,2025-06-30T01:31:48.589Z
3565,INV-2025-019,,ADG,1,DG,TABLE BASSE (Gigogne),1,,BON,EN BOIS   PLATEAU EN VERRE,0.00,,,{},2025-06-30T01:31:48.791Z,2025-06-30T01:31:48.791Z
ECR_POSITF_638,INV-2025-020,,ADG,1,DG,TABLE MAGIROND,1,,BON,EN BOIS MARRON SOMBRE AVEC 1 ETAGE,0.00,,,{},2025-06-30T01:31:48.996Z,2025-06-30T01:31:48.996Z
3984,INV-2025-021,,ADG,1,DG,TELEVISEUR,1,,BON,TV PLASMA  MARQUE LG 43 POUCES,0.00,,,{},2025-06-30T01:31:49.200Z,2025-06-30T01:31:49.200Z
ECR_POSITF_512,INV-2025-023,,ADG,1,DG,ARMOIRE RÉFRIGÉRATEUR,1,,MOYEN,EN BOIS 1 ETAGE,0.00,,,{},2025-06-30T01:31:49.403Z,2025-06-30T01:31:49.403Z
3625,INV-2025-024,,ADG,1,DG,CLIMATISEUR SPLIT,1,,MOYEN,MARQUE NEW CARREA  BTU 18000,0.00,,,{},2025-06-30T01:31:49.606Z,2025-06-30T01:31:49.606Z
SC0003,INV-2025-025,,ADG,1,DG,MAGNÉTOSCOPE VHS,1,,MOYEN,MARQUE JVC  NOIR,0.00,,,{},2025-06-30T01:31:49.812Z,2025-06-30T01:31:49.812Z
ECR_POSITF_24,INV-2025-026,,ADG,1,DG,ARMOIRE BIBLIOTHEQUE VITREE,1,,BON,EN BOIS   5 VITRINES EN HAUT  5 PORTES MARRON SOMBRE BAS,0.00,,,{},2025-06-30T01:31:50.016Z,2025-06-30T01:31:50.016Z
ECR_POSITF_132,INV-2025-027,,ADG,1,DG,BUREAU,1,,BON,EN BOIS,0.00,,,{},2025-06-30T01:31:50.223Z,2025-06-30T01:31:50.223Z
3463,INV-2025-028,,ADG,1,DG,CAISSON MOBILE,1,,BON,EN BOIS MARRON                     3 TIROIRES,0.00,,,{},2025-06-30T01:31:50.426Z,2025-06-30T01:31:50.426Z
ECR_POSITF_473,INV-2025-029,,ADG,1,DG,CANAPÉ DE SALON,1,,BON,CANAPE DE SALON 3 PLACES GRENAT CUIR,0.00,,,{},2025-06-30T01:31:50.630Z,2025-06-30T01:31:50.630Z
3975,INV-2025-030,,ADG,1,DG,CHAISE BUREAU,1,,BON,EN CUIR NOIR  FAUTEUIL DE DIRECTION  A ROULETTES,0.00,,,{},2025-06-30T01:31:50.835Z,2025-06-30T01:31:50.835Z
3938A3,INV-2025-031,,ADG,1,DG,CHAISE VISITEUR,1,,BON,EN BOIS   CUIR   AVEC ACCOUDOIR    CHASIE DE REUNION,0.00,,,{},2025-06-30T01:31:51.041Z,2025-06-30T01:31:51.041Z
3474,INV-2025-032,,ADG,1,DG,CHAISE VISITEUR,1,,BON,EN BOIS   CUIR   AVEC ACCOUDOIR    CHASIE DE REUNION,0.00,,,{},2025-06-30T01:31:51.244Z,2025-06-30T01:31:51.244Z
ECR_POSITF_465,INV-2025-033,,ADG,1,DG,DÉCHIQUETEUSE,1,,BON,MARQUE TECHNO C 310  REF 4759,0.00,,,{},2025-06-30T01:31:51.451Z,2025-06-30T01:31:51.451Z
ECR_POSITF_509,INV-2025-035,,ADG,1,DG,MEUBLE BAS COMODE,1,,BON,EN BOIS MARRON SOMBRE PORTE CLAVIER 1 TIROIRS PORTE UNITE 1 PORTE EN BOIS,0.00,,,{},2025-06-30T01:31:51.878Z,2025-06-30T01:31:51.878Z
3922,INV-2025-036,,ADG,1,DG,TABLE BASSE,1,,BON,EN BOIS MARRON SOMBRE,0.00,,,{},2025-06-30T01:31:52.089Z,2025-06-30T01:31:52.089Z
3884,INV-2025-037,,ADG,1,DG,CAMERA DE SURVEILLANCE,1,,BON,INTERIEURE,0.00,,,{},2025-06-30T01:31:52.295Z,2025-06-30T01:31:52.295Z
ECR_POSITF_461,INV-2025-038,,ADG,1,DG,CUMULUS,1,,BON,EUROFLAMME,0.00,,,{},2025-06-30T01:31:52.500Z,2025-06-30T01:31:52.500Z
3720,INV-2025-039,,ADG,1,DG,PORTE MONTEAU,1,,BON,METALLIQUE,0.00,,,{},2025-06-30T01:31:52.706Z,2025-06-30T01:31:52.706Z
3989-1,INV-2025-011,,ADG,1,DG,ECRAN PC,1,,BON,Moniteur HP  20 POUCES,0.00,,,{},2025-06-30T01:31:52.920Z,2025-06-30T01:31:52.920Z
3989-2,INV-2025-022,,ADG,1,DG,UNITE PC,1,8CG8261X2G,BON,PC OEM  DESKTOP HP PRO A-MT RYZEN 3 2200G 4GO RAM 1 T HDD,0.00,,,{},2025-06-30T01:31:53.125Z,2025-06-30T01:31:53.125Z
EXP_3970,INV-2025-040,,ADG,2,SECRITAIRE,APPAREIL TELPHONE FIXE STANDARD,1,3AK2603FBJB020627,BON,POUR STANDARD MARQUE ALCATEL STANDARD PREMUIM REFLEXES 40,0.00,,,{},2025-06-30T01:31:53.330Z,2025-06-30T01:31:53.330Z
4009,INV-2025-041,,ADG,2,SECRITAIRE,IMPRIMANTE,1,,BON,MARQUE CANON MULTIFONCTION  MARQUE MF645CX,0.00,,,{},2025-06-30T01:31:53.566Z,2025-06-30T01:31:53.566Z
SC0004,INV-2025-042,,ADG,2,SECRITAIRE,ARMOIRE A CLES,1,,BON,EN BOIS MURAL EN BOIS  2  PORTES EN VERRE,0.00,,,{},2025-06-30T01:31:53.770Z,2025-06-30T01:31:53.770Z
ECR_POSITF_39,INV-2025-043,,ADG,2,SECRITAIRE,ARMOIRE EN BOIS,1,,BON,EN BOIS MARRON  2 PORTES BATTANTES 4 TABLETTES,0.00,,,{},2025-06-30T01:31:53.973Z,2025-06-30T01:31:53.973Z
ECR_POSITF_29,INV-2025-044,2742,ADG,2,SECRITAIRE,ARMOIRE FORTE BLINDÉE,1,,BON,EN METAL BLINDÉE 2 PORTES,0.00,,,{},2025-06-30T01:31:54.177Z,2025-06-30T01:31:54.177Z
ECR_POSITF_125,INV-2025-045,058,ADG,2,SECRITAIRE,BUREAU A RETOUR,1,,BON,EN BOIS,0.00,,,{},2025-06-30T01:31:54.382Z,2025-06-30T01:31:54.382Z
3464,INV-2025-046,,ADG,2,SECRITAIRE,CAISSON MOBILE,1,,BON,EN BOIS MARRON CLAIR  3 TIROIRES,0.00,,,{},2025-06-30T01:31:54.586Z,2025-06-30T01:31:54.586Z
ECR_POSITF_466,INV-2025-047,,ADG,2,SECRITAIRE,DÉCHIQUETEUSE,1,,BON,MARQUE REXEL V125NOIRE,0.00,,,{},2025-06-30T01:31:54.788Z,2025-06-30T01:31:54.788Z
3966   (REFORME ),INV-2025-049,3966,ADG,2,SECRITAIRE,IMPRIMANTE,1,E71830CR5J84273,BON,MULTIFONCTION COLEUR MARQUE BROTHER DCP-9020 CDW,0.00,,,{},2025-06-30T01:31:54.993Z,2025-06-30T01:31:54.993Z
